Record,Spp #,Species,Length (mm),Weight (g),Length (in),Weight (lbs),Sex,Maturity,MM,DD,YYYY,Date,WaterBody,Section,Count,Notes,LOC_Name,LOC_Number,NetType,Position,Season,TimeSet,TimePulled,HoursSet,H2O Temp (F),H2O Temp (C),NetNumb,NetCount,Condition (Fulton's K),Condition Filtered,Strategy,Length (cm),100 mm Group
26795,5,BULL,201,60,7.91,0.13,Female,,5,24,1984,5/24/1984,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,21:30,9:00,11.5,49.5,9.7,1004,1,73.89,TRUE,Pre-Biop,20,200
31135,29,PEA,,,,,,,4,9,1985,4/9/1985,Koocanusa,Rexford,14,,North Point Dodge,10,2,,Spring,19:00,9:30,14.5,40,4.7,1306,1,,FALSE,Pre-Biop,,
31056,29,PEA,,,,,,,4,9,1985,4/9/1985,Koocanusa,Rexford,22,,North Point Tobacco,8,2,,Spring,19:00,9:30,14.5,40,4.7,1303,1,,FALSE,Pre-Biop,,
31582,29,PEA,,,,,,,5,9,1985,5/9/1985,Koocanusa,Tenmile,35,,North Point Bristow (sinker),8,2,,Spring,18:00,9:00,15,,7.1,1224,1,,FALSE,Pre-Biop,,
31526,29,PEA,,,,,,,5,9,1985,5/9/1985,Koocanusa,Tenmile,27,,North Point Fivemile,7,2,,Spring,18:00,9:00,15,45,7.1,1225,1,,FALSE,Pre-Biop,,
34821,29,PEA,261,167,10.28,0.37,,,4,24,1986,4/24/1986,Koocanusa,Tenmile,1,,North Point Bristow (sinker),8,2,,Spring,17:00,9:00,16,41,5,1425,1,93.93,TRUE,Pre-Biop,26,200
34791,29,PEA,251,120,9.88,0.26,,,4,24,1986,4/24/1986,Koocanusa,Tenmile,1,,North Point Fivemile,7,2,,Spring,19:00,9:00,14,41,5,1424,1,75.89,TRUE,Pre-Biop,25,200
35156,29,PEA,249,139,9.8,0.31,,,4,25,1986,4/25/1986,Koocanusa,Tenmile,1,,North Point Bristow (sinker),8,2,,Spring,18:30,10:00,15.5,41,5,1438,1,90.04,TRUE,Pre-Biop,24,200
35128,29,PEA,263,156,10.35,0.34,,,4,25,1986,4/25/1986,Koocanusa,Tenmile,1,,North Point Fivemile,7,2,,Spring,18:30,10:00,15.5,41,5,1437,1,85.75,TRUE,Pre-Biop,26,200
35309,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,25,,4,4,2,Inner,Spring,21:30,8:00,10.5,53.4,11.9,89,1,,FALSE,Pre-Biop,,
35582,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,38,,11,11,2,Inner,Spring,,,13,53.4,11.9,95,1,,FALSE,Pre-Biop,,
35623,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,2,,12,12,2,Inner,Spring,20:00,9:30,13.5,53.4,11.9,96,1,,FALSE,Pre-Biop,,
35755,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,36,,16,16,2,Inner,Spring,,,13,53.4,11.9,99,1,,FALSE,Pre-Biop,,
35362,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,40,,Far South Tobacco,6,2,Inner,Spring,,,13,53.4,11.9,90,1,,FALSE,Pre-Biop,,
35724,29,PEA,272,181,10.71,0.4,,,5,8,1986,5/8/1986,Koocanusa,Rexford,1,,Mid Sophie,15,2,Inner,Spring,,,13,53.4,11.9,98,1,89.94,TRUE,Pre-Biop,27,200
35266,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,59,,North Black Lake,3,2,Inner,Spring,,,13,53.4,11.9,88,1,,FALSE,Pre-Biop,,
35484,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,8,,North of North Point Tobacco,9,2,Inner,Spring,,,13,53.4,11.9,93,1,,FALSE,Pre-Biop,,
35547,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,48,,North Point Dodge,10,2,Inner,Spring,,,13,53.4,11.9,94,1,,FALSE,Pre-Biop,,
35442,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,2,,North Point Tobacco,8,2,Inner,Spring,,,13,53.4,11.9,92,1,,FALSE,Pre-Biop,,
35802,29,PEA,202,55,7.95,0.12,,,5,8,1986,5/8/1986,Koocanusa,Rexford,1,,North Sophie,18,2,Inner,Spring,,,13,53.4,11.9,100,1,66.73,TRUE,Pre-Biop,20,200
35216,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,53,,South Black Lake,2,2,Inner,Spring,,,13,53.4,11.9,87,1,,FALSE,Pre-Biop,,
35668,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,5,,South Sophie,14,2,Inner,Spring,,,13,53.4,11.9,97,1,,FALSE,Pre-Biop,,
35407,29,PEA,,,,,,,5,8,1986,5/8/1986,Koocanusa,Rexford,13,,South Tobacco,7,2,Inner,Spring,,,13,53.4,11.9,91,1,,FALSE,Pre-Biop,,
35934,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,7,,4,4,2,Inner,Spring,21:00,9:00,12,53.4,11.9,103,1,,FALSE,Pre-Biop,,
36163,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,37,,11,11,2,Inner,Spring,,,13,53.4,11.9,109,1,,FALSE,Pre-Biop,,
36205,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,63,,12,12,2,Inner,Spring,21:30,8:00,10.5,53.4,11.9,110,1,,FALSE,Pre-Biop,,
36320,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,59,,16,16,2,Inner,Spring,,,13,53.4,11.9,113,1,,FALSE,Pre-Biop,,
35973,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,5,,Far South Tobacco,6,2,Inner,Spring,20:00,9:00,13,53.4,11.9,104,1,,FALSE,Pre-Biop,,
36281,29,PEA,273,190,10.75,0.42,,,5,9,1986,5/9/1986,Koocanusa,Rexford,1,,Mid Sophie,15,2,Inner,Spring,,,13,53.4,11.9,112,1,93.38,TRUE,Pre-Biop,27,200
35871,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,46,,North Black Lake,3,2,Inner,Spring,,,13,53.4,11.9,102,1,,FALSE,Pre-Biop,,
36088,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,29,,North of North Point Tobacco,9,2,Inner,Spring,,,13,53.4,11.9,107,1,,FALSE,Pre-Biop,,
36126,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,42,,North Point Dodge,10,2,Inner,Spring,21:30,8:00,10.5,53.4,11.9,108,1,,FALSE,Pre-Biop,,
36034,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,5,,North Point Tobacco,8,2,Inner,Spring,19:00,9:00,14,53.4,11.9,106,1,,FALSE,Pre-Biop,,
36362,29,PEA,223,70,8.78,0.15,,,5,9,1986,5/9/1986,Koocanusa,Rexford,1,,North Sophie,18,2,Inner,Spring,,,13,53.4,11.9,114,1,63.12,TRUE,Pre-Biop,22,200
35828,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,29,,South Black Lake,2,2,Inner,Spring,,,13,53.4,11.9,101,1,,FALSE,Pre-Biop,,
36252,29,PEA,230,100,9.06,0.22,,,5,9,1986,5/9/1986,Koocanusa,Rexford,1,,South Sophie,14,2,Inner,Spring,,,13,53.4,11.9,111,1,82.19,TRUE,Pre-Biop,23,200
35998,29,PEA,,,,,,,5,9,1986,5/9/1986,Koocanusa,Rexford,39,,South Tobacco,7,2,Inner,Spring,21:30,8:30,11,53.4,11.9,105,1,,FALSE,Pre-Biop,,
39876,29,PEA,295,270,11.61,0.6,Female,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,16,16,2,,Spring,20:30,9:30,13,51.4,10.8,126,1,105.17,TRUE,Pre-Biop,29,200
39261,29,PEA,215,174,8.46,0.38,Female,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,Far South Tobacco,6,2,,Spring,20:30,9:30,13,51.4,10.8,118,1,175.08,FALSE,Pre-Biop,21,200
39803,29,PEA,250,149,9.84,0.33,Female,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,20:30,9:30,13,51.4,10.8,125,1,95.36,TRUE,Pre-Biop,25,200
39131,29,PEA,207,72,8.15,0.16,Male,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North Black Lake,3,2,,Spring,20:30,9:30,13,51.4,10.8,116,1,81.17,TRUE,Pre-Biop,20,200
39486,33,N PMN,315,246,12.4,0.54,Male,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North of North Point Tobacco,9,2,,Spring,20:30,9:30,13,51.4,10.8,121,1,78.71,TRUE,Pre-Biop,31,300
39563,29,PEA,213,70,8.39,0.15,Male,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North Point Dodge,10,2,,Spring,20:30,9:30,13,51.4,10.8,122,1,72.44,TRUE,Pre-Biop,21,200
39646,29,PEA,190,54,7.48,0.12,Male,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North Point Murray,13,2,,Spring,20:30,9:30,13,51.4,10.8,123,1,78.73,TRUE,Pre-Biop,19,100
39445,29,PEA,228,91,8.98,0.2,Female,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,20:30,9:30,13,51.4,10.8,120,1,76.78,TRUE,Pre-Biop,22,200
39938,58,LS SU,330,365,12.99,0.8,Male,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North Point Young,17,2,,Spring,20:30,9:30,13,51.4,10.8,127,1,101.57,TRUE,Pre-Biop,33,300
39967,33,N PMN,318,255,12.52,0.56,Female,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,North Sophie,18,2,,Spring,20:30,9:30,13,51.4,10.8,128,1,79.3,TRUE,Pre-Biop,31,300
39071,29,PEA,206,70,8.11,0.15,Female,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,South Black Lake,2,2,,Spring,20:30,9:30,13,51.4,10.8,115,1,80.07,TRUE,Pre-Biop,20,200
39200,29,PEA,227,77,8.94,0.17,,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,South of Far South Tobacco,5,2,,Spring,20:30,9:30,13,51.4,10.8,117,1,65.83,TRUE,Pre-Biop,22,200
39724,29,PEA,250,138,9.84,0.3,,,5,5,1987,5/5/1987,Koocanusa,Rexford,1,,South Sophie,14,2,,Spring,20:30,9:30,13,51.4,10.8,124,1,88.32,TRUE,Pre-Biop,25,200
39354,29,PEA,,,,,,,5,5,1987,5/5/1987,Koocanusa,Rexford,22,,South Tobacco,7,2,,Spring,20:30,9:30,13,51.4,10.8,119,1,,FALSE,Pre-Biop,,
40623,29,PEA,,,,,,,5,6,1987,5/6/1987,Koocanusa,Rexford,5,,16,16,2,,Spring,19:00,12:00,17,51.4,10.8,140,1,,FALSE,Pre-Biop,,
40192,29,PEA,223,85,8.78,0.19,Female,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,Far South Tobacco,6,2,,Spring,19:00,10:00,15,51.4,10.8,132,1,76.65,TRUE,Pre-Biop,22,200
40576,29,PEA,308,250,12.13,0.55,Female,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,Mid Sophie,15,2,,Spring,19:00,10:00,15,51.4,10.8,139,1,85.56,TRUE,Pre-Biop,30,300
40037,29,PEA,,,,,,,5,6,1987,5/6/1987,Koocanusa,Rexford,86,,North Black Lake,3,2,,Spring,19:00,10:00,15,51.4,10.8,130,1,,FALSE,Pre-Biop,,
40347,29,PEA,221,86,8.7,0.19,Male,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,North of North Point Tobacco,9,2,,Spring,19:00,10:00,15,51.4,10.8,135,1,79.67,TRUE,Pre-Biop,22,200
40395,29,PEA,,,,,,,5,6,1987,5/6/1987,Koocanusa,Rexford,73,,North Point Dodge,10,2,,Spring,19:00,10:00,15,51.4,10.8,136,1,,FALSE,Pre-Biop,,
40457,29,PEA,313,248,12.32,0.55,Female,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,North Point Murray,13,2,,Spring,19:00,10:00,15,51.4,10.8,137,1,80.88,TRUE,Pre-Biop,31,300
40329,58,LS SU,290,220,11.42,0.49,Male,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,North Point Tobacco,8,2,,Spring,19:00,10:00,15,51.4,10.8,134,1,90.2,TRUE,Pre-Biop,29,200
40703,29,PEA,230,104,9.06,0.23,Female,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,North Point Young,17,2,,Spring,19:00,10:00,15,51.4,10.8,141,1,85.48,TRUE,Pre-Biop,23,200
40709,58,LS SU,380,453,14.96,1,Male,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,North Sophie,18,2,,Spring,19:00,10:00,15,51.4,10.8,142,1,82.56,TRUE,Pre-Biop,38,300
40028,58,LS SU,344,354,13.54,0.78,Male,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,South Black Lake,2,2,,Spring,19:30,10:00,14.5,51.4,10.8,129,1,86.96,TRUE,Pre-Biop,34,300
40127,29,PEA,216,70,8.5,0.15,Male,,5,6,1987,5/6/1987,Koocanusa,Rexford,1,,South of Far South Tobacco,5,2,,Spring,19:00,9:30,14.5,51.4,10.8,131,1,69.46,TRUE,Pre-Biop,21,200
40501,29,PEA,,,,,,,5,6,1987,5/6/1987,Koocanusa,Rexford,21,,South Sophie,14,2,,Spring,19:00,10:00,15,51.4,10.8,138,1,,FALSE,Pre-Biop,,
40257,29,PEA,,,,,,,5,6,1987,5/6/1987,Koocanusa,Rexford,38,,South Tobacco,7,2,,Spring,19:00,10:00,15,51.4,10.8,133,1,,FALSE,Pre-Biop,,
44081,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,41,,Far South Tobacco,6,2,Inner,Spring,20:30,9:00,12.5,53.6,12,146,1,,FALSE,Pre-Biop,,
44420,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,42,,Mid Sophie,15,2,Inner,Spring,21:30,10:00,12.5,53.6,12,153,1,,FALSE,Pre-Biop,,
44027,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,21,,North Black Lake,3,2,Inner,Spring,20:30,9:00,12.5,53.6,12,144,1,,FALSE,Pre-Biop,,
44217,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,36,,North of North Point Tobacco,9,2,Inner,Spring,21:30,10:00,12.5,53.6,12,149,1,,FALSE,Pre-Biop,,
44267,29,PEA,273,160,10.75,0.35,,,5,12,1988,5/12/1988,Koocanusa,Rexford,1,,North Point Dodge,10,2,Inner,Spring,21:30,10:00,12.5,53.6,12,150,1,78.64,TRUE,Pre-Biop,27,200
44301,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,12,,North Point Murray,13,2,Inner,Spring,21:30,10:00,12.5,53.6,12,151,1,,FALSE,Pre-Biop,,
44165,29,PEA,314,224,12.36,0.49,,,5,12,1988,5/12/1988,Koocanusa,Rexford,1,,North Point Tobacco,8,2,Inner,Spring,20:50,9:00,12.16666667,53.6,12,148,1,72.35,TRUE,Pre-Biop,31,300
44473,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,52,,North Point Young,17,2,Inner,Spring,21:30,10:00,12.5,53.6,12,154,1,,FALSE,Pre-Biop,,
44518,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,30,,North Sophie,18,2,Inner,Spring,21:30,10:00,12.5,53.6,12,155,1,,FALSE,Pre-Biop,,
44578,29,PEA,240,115,9.45,0.25,,,5,12,1988,5/12/1988,Koocanusa,Rexford,1,,Sandhill,19,2,Inner,Spring,21:30,10:00,12.5,53.6,12,156,1,83.19,TRUE,Pre-Biop,24,200
43968,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,63,,South Black Lake,2,2,Inner,Spring,20:30,9:00,12.5,53.6,12,143,1,,FALSE,Pre-Biop,,
44065,29,PEA,291,194,11.46,0.43,,,5,12,1988,5/12/1988,Koocanusa,Rexford,1,,South of Far South Tobacco,5,2,Inner,Spring,20:30,9:00,12.5,53.6,12,145,1,78.73,TRUE,Pre-Biop,29,200
44349,29,PEA,,,,,,,5,12,1988,5/12/1988,Koocanusa,Rexford,9,,South Sophie,14,2,Inner,Spring,21:30,10:00,12.5,53.6,12,152,1,,FALSE,Pre-Biop,,
44130,29,PEA,183,41,7.2,0.09,,,5,12,1988,5/12/1988,Koocanusa,Rexford,1,,South Tobacco,7,2,Inner,Spring,20:30,9:00,12.5,53.6,12,147,1,66.9,TRUE,Pre-Biop,18,100
44725,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,63,,Far South Tobacco,6,2,Inner,Spring,18:30,13:00,18.5,53.6,12,160,1,,FALSE,Pre-Biop,,
45073,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,73,,Mid Sophie,15,2,Inner,Spring,18:30,13:00,18.5,53.6,12,167,1,,FALSE,Pre-Biop,,
44665,29,PEA,248,123,9.76,0.27,,,5,13,1988,5/13/1988,Koocanusa,Rexford,1,,North Black Lake,3,2,Inner,Spring,18:30,13:00,18.5,53.6,12,158,1,80.64,TRUE,Pre-Biop,24,200
44890,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,114,,North of North Point Tobacco,9,2,Inner,Spring,18:30,13:00,18.5,53.6,12,163,1,,FALSE,Pre-Biop,,
44955,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,37,,North Point Dodge,10,2,Inner,Spring,18:30,13:00,18.5,53.6,12,164,1,,FALSE,Pre-Biop,,
44998,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,56,,North Point Murray,13,2,Inner,Spring,18:30,13:00,18.5,53.6,12,165,1,,FALSE,Pre-Biop,,
44808,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,111,,North Point Tobacco,8,2,Inner,Spring,18:30,13:00,18.5,53.6,12,162,1,,FALSE,Pre-Biop,,
45143,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,100,,North Point Young,17,2,Inner,Spring,18:30,13:00,18.5,53.6,12,168,1,,FALSE,Pre-Biop,,
45179,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,42,,Sandhill,19,2,Inner,Spring,18:30,13:00,18.5,53.6,12,169,1,,FALSE,Pre-Biop,,
44626,29,PEA,297,236,11.69,0.52,,,5,13,1988,5/13/1988,Koocanusa,Rexford,1,,South Black Lake,2,2,Inner,Spring,18:30,13:00,18.5,53.6,12,157,1,90.08,TRUE,Pre-Biop,29,200
44707,29,PEA,221,87,8.7,0.19,,,5,13,1988,5/13/1988,Koocanusa,Rexford,1,,South of Far South Tobacco,5,2,Inner,Spring,18:30,13:00,18.5,53.6,12,159,1,80.6,TRUE,Pre-Biop,22,200
45031,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,243,,South Sophie,14,2,Inner,Spring,18:30,13:00,18.5,53.6,12,166,1,,FALSE,Pre-Biop,,
44768,29,PEA,,,,,,,5,13,1988,5/13/1988,Koocanusa,Rexford,21,,South Tobacco,7,2,Inner,Spring,18:30,13:00,18.5,53.6,12,161,1,,FALSE,Pre-Biop,,
49487,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,21,,Far South Tobacco,6,2,Inner,Spring,18:30,10:00,15.5,48,8.9,204,1,,FALSE,Pre-Biop,,
49861,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,160,,Mid Sophie,15,2,Inner,Spring,18:30,10:00,15.5,48,8.9,211,1,,FALSE,Pre-Biop,,
49368,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,3,,North Black Lake,3,2,Inner,Spring,18:30,10:00,15.5,48,8.9,202,1,,FALSE,Pre-Biop,,
49641,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,17,,North of North Point Tobacco,9,2,Inner,Spring,18:30,10:00,15.5,48,8.9,207,1,,FALSE,Pre-Biop,,
49712,29,PEA,284,145,11.18,0.32,Female,,5,10,1989,5/10/1989,Koocanusa,Rexford,1,,North Point Dodge,10,2,Inner,Spring,18:30,10:00,15.5,48,8.9,208,1,63.3,TRUE,Pre-Biop,28,200
49741,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,123,,North Point Murray,13,2,Inner,Spring,18:30,10:00,15.5,48,8.9,209,1,,FALSE,Pre-Biop,,
49584,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,34,,North Point Tobacco,8,2,Inner,Spring,18:30,10:00,15.5,48,8.9,206,1,,FALSE,Pre-Biop,,
49933,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,42,,North Point Young,17,2,Inner,Spring,18:30,10:00,15.5,48,,212,1,,FALSE,Pre-Biop,,
49980,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,96,,North Sophie,18,2,Inner,Spring,18:30,10:00,15.5,48,,213,1,,FALSE,Pre-Biop,,
50047,29,PEA,317,263,12.48,0.58,Female,,5,10,1989,5/10/1989,Koocanusa,Rexford,1,,Sandhill,19,2,Inner,Spring,18:30,10:00,15.5,48,,214,1,82.56,TRUE,Pre-Biop,31,300
49325,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,7,,South Black Lake,2,2,Inner,Spring,18:30,10:00,15.5,48,8.9,201,1,,FALSE,Pre-Biop,,
49430,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,56,,South of Far South Tobacco,5,2,Inner,Spring,18:30,10:00,15.5,48,8.9,203,1,,FALSE,Pre-Biop,,
49811,29,PEA,,,,,,,5,10,1989,5/10/1989,Koocanusa,Rexford,13,,South Sophie,14,2,Inner,Spring,18:30,10:00,15.5,48,8.9,210,1,,FALSE,Pre-Biop,,
49560,29,PEA,260,120,10.24,0.26,Female,,5,10,1989,5/10/1989,Koocanusa,Rexford,1,,South Tobacco,7,2,Inner,Spring,18:30,10:00,15.5,48,8.9,205,1,68.27,TRUE,Pre-Biop,26,200
50085,29,PEA,253,104,9.96,0.23,Female,,5,11,1989,5/11/1989,Koocanusa,Rexford,1,,Far South Tobacco,6,2,Inner,Spring,20:00,10:00,14,48,,216,1,64.22,TRUE,Pre-Biop,25,200
50357,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,67,,Mid Sophie,15,2,Inner,Spring,20:00,10:00,14,48,,222,1,,FALSE,Pre-Biop,,
50190,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,39,,North of North Point Tobacco,9,2,Inner,Spring,20:00,10:00,14,48,,219,1,,FALSE,Pre-Biop,,
50249,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,31,,North Point Dodge,10,2,Inner,Spring,20:00,10:00,14,48,,220,1,,FALSE,Pre-Biop,,
50295,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,13,,North Point Murray,13,2,Inner,Spring,20:00,10:00,14,48,,221,1,,FALSE,Pre-Biop,,
50158,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,3,,North Point Tobacco,8,2,Inner,Spring,20:00,10:00,14,48,,218,1,,FALSE,Pre-Biop,,
50407,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,91,,North Point Young,17,2,Inner,Spring,20:00,10:00,14,48,,223,1,,FALSE,Pre-Biop,,
50457,29,PEA,208,80,8.19,0.18,Male,,5,11,1989,5/11/1989,Koocanusa,Rexford,1,,North Sophie,18,2,Inner,Spring,20:00,10:00,14,48,,224,1,88.9,TRUE,Pre-Biop,20,200
50494,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,64,,Sandhill,19,2,Inner,Spring,20:00,10:00,14,48,,225,1,,FALSE,Pre-Biop,,
50053,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,47,,South of Far South Tobacco,5,2,Inner,Spring,20:00,10:00,14,48,,215,1,,FALSE,Pre-Biop,,
50105,29,PEA,,,,,,,5,11,1989,5/11/1989,Koocanusa,Rexford,66,,South Tobacco,7,2,Inner,Spring,20:00,10:00,14,48,,217,1,,FALSE,Pre-Biop,,
54339,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,95,,Far South Tobacco,6,2,Inner,Spring,20:00,10:00,14,53,11.7,229,1,,FALSE,Pre-Biop,,
54676,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,51,,Mid Sophie,15,2,Inner,Spring,20:00,10:00,14,53,11.7,236,1,,FALSE,Pre-Biop,,
54263,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,106,,North Black Lake,3,2,Inner,Spring,20:00,10:00,14,53,11.7,227,1,,FALSE,Pre-Biop,,
54470,29,PEA,208,62,8.19,0.14,,,5,10,1990,5/10/1990,Koocanusa,Rexford,1,,North of North Point Tobacco,9,2,Inner,Spring,20:00,10:00,14,53,11.7,232,1,68.9,TRUE,Pre-Biop,20,200
54526,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,27,,North Point Dodge,10,2,Inner,Spring,20:00,10:00,14,53,11.7,233,1,,FALSE,Pre-Biop,,
54552,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,57,,North Point Murray,13,2,Inner,Spring,20:00,10:00,14,53,11.7,234,1,,FALSE,Pre-Biop,,
54428,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,78,,North Point Tobacco,8,2,Inner,Spring,20:00,10:00,14,53,11.7,231,1,,FALSE,Pre-Biop,,
54728,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,39,,North Point Young,17,2,Inner,Spring,20:00,10:00,14,53,11.7,237,1,,FALSE,Pre-Biop,,
54759,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,82,,North Sophie,18,2,Inner,Spring,20:00,10:00,14,53,11.7,238,1,,FALSE,Pre-Biop,,
54809,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,84,,Sandhill,19,2,Inner,Spring,20:00,10:00,14,53,11.7,239,1,,FALSE,Pre-Biop,,
54197,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,156,,South Black Lake,2,2,Inner,Spring,18:00,9:30,15.5,53,11.7,226,1,,FALSE,Pre-Biop,,
54303,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,170,,South of Far South Tobacco,5,2,Inner,Spring,20:00,10:00,14,53,11.7,228,1,,FALSE,Pre-Biop,,
54620,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,43,,South Sophie,14,2,Inner,Spring,20:00,10:00,14,53,11.7,235,1,,FALSE,Pre-Biop,,
54376,29,PEA,,,,,,,5,10,1990,5/10/1990,Koocanusa,Rexford,88,,South Tobacco,7,2,Inner,Spring,20:00,10:00,14,53,11.7,230,1,,FALSE,Pre-Biop,,
54959,29,PEA,,,,,,,5,11,1990,5/11/1990,Koocanusa,Rexford,276,,Far South Tobacco,6,2,Inner,Spring,20:30,10:00,13.5,54,12.2,243,1,,FALSE,Pre-Biop,,
